pkg_name	role	band
redoc	case	100K-1M
redux-promise-middleware	control	100K-1M
refractor	control	1M+
regenerate-unicode-properties	control	1M+
regjsgen	control	1M+
remotion	case	10K-100K
removeNPMAbsolutePaths	control	10K-100K
renovate	case	100K-1M
request-filtering-agent	case	10K-100K
resolve-url-loader	control	1M+
restify	control	1M+
rollbar	case	1M+
rollup	case	1M+
rollup-plugin-license	control	100K-1M
roosterjs-editor-types-compatible	control	10K-100K
rpc-websockets	control	1M+
rsocket-websocket-client	control	10K-100K
rsshub	case	1K-10K
safe-regex2	control	1M+
sails	case	100K-1M
sails-mysql	control	10K-100K
salto-vscode	control	10K-100K
samlify	case	100K-1M
sanitize-html	case	1M+
sanity-plugin-media	control	100K-1M
sanity-secrets	control	10K-100K
sass-loader	control	1M+
scandit-sdk	control	100K-1M
scim-patch	case	10K-100K
scule	control	1M+
secp256k1	case	1M+
selderee	control	1M+
selenium-standalone	control	1M+
semantic-ui-search	control	1K-10K
semver	case	1M+
semver-greatest-satisfied-range	control	1M+
semver-try-require	control	1M+
send	case	1M+
sendwithus	control	10K-100K
sequelize	case	1M+
sequelize-typescript	case	100K-1M
serialize-error	control	1M+
serialize-to-js	control	100K-1M
serve-handler	control	1M+
serve-placeholder	control	1M+
serve-static	case	1M+
serverless	case	1M+
serverless-lift	control	10K-100K
serverless-offline-http-mock	control	1K-10K
serverless-plugin-epsagon	control	10K-100K
serverless-vpc-plugin	control	10K-100K
ses	case	10K-100K
shades	control	10K-100K
shakapacker	case	100K-1M
sharp	case	1M+
shell-quote	case	1M+
shellwords	control	1M+
shescape	case	10K-100K
showdown	case	1M+
signalk-server	case	1K-10K
sigstore	case	1K-10K
sill-api	control	1K-10K
simple-git	case	1M+
sirv	control	1M+
slim-select	case	10K-100K
sm-crypto	case	10K-100K
smtp-server	case	100K-1M
snappy	control	1M+
snarkjs	case	10K-100K
snowflake-sdk	case	100K-1M
snyk	case	1M+
snyk-gradle-plugin	case	100K-1M
snyk-php-plugin	case	100K-1M
snyk-python-plugin	control	100K-1M
snyk-sbt-plugin	control	100K-1M
soap	control	1M+
socket.io	case	1M+
socket.io-parser	case	1M+
solid-js	case	100K-1M
solid-styled	control	1K-10K
speaker	case	10K-100K
splaytree	control	1M+
splicon	control	1K-10K
sql-formatter	control	100K-1M
sqlite3	case	1M+
ssh2	control	1M+
stack-generator	control	1M+
standard	control	1M+
stimulsoft-dashboards-js	case	1K-10K
stimulus_reflex	case	10K-100K
store2	case	1M+
storybook	case	100K-1M
storybook-addon-markdown-docs	control	10K-100K
strapi-plugin-rest-cache	control	1K-10K
strapi-utils	control	100K-1M
string-kit	case	100K-1M
string.prototype.trimend	control	1M+
stubsy	control	1K-10K
style-dictionary	case	100K-1M
styled-jsx	control	1M+
stylelint	case	1M+
stylelint-config-recommended	control	1M+
stylelint-config-recommended-less	control	10K-100K
stylelint-less	control	10K-100K
stylelint-scss	control	1M+
stylis	control	1M+
sucrase	control	1M+
suneditor	case	10K-100K
superagent	control	1M+
superplate-cli	control	1K-10K
superstatic	control	1M+
supports-hyperlinks	control	1M+
survey-creator	case	10K-100K
survey-pdf	case	10K-100K
svelecte	case	10K-100K
svelte	case	1M+
svelte-navigator	control	10K-100K
svgo	case	1M+
swagger-typescript-api	case	100K-1M
sweetalert2	case	1M+
swiper	case	1M+
synckit	case	1M+
systeminformation	case	1M+
tabris	control	10K-100K
tailwind-config-viewer	control	100K-1M
tailwindcss-box-shadow	control	10K-100K
tap-parser	control	1M+
tar	case	1M+
taro-css-to-react-native	case	10K-100K
tarteaucitronjs	case	10K-100K
taskkill	control	1M+
telejson	case	1M+
terminal-kit	case	100K-1M
terser-webpack-plugin	control	1M+
three-stdlib	control	100K-1M
thrift	case	100K-1M
timed-cache	control	10K-100K
tinacms	case	10K-100K
tiny-secp256k1	case	100K-1M
tinymce	case	1M+
to-vfile	control	1M+
total4	case	1K-10K
tough-cookie	case	1M+
treport	control	100K-1M
trix	case	100K-1M
ts-deepmerge	case	100K-1M
ts-morph	control	1M+
ts-node-dev	control	1M+
tsconfck	control	10K-100K
tsconfig-vuepress	control	10K-100K
tsup	case	100K-1M
tty-table	control	100K-1M
turbo	case	1M+
turbo-linux-64	control	1M+
turbo-linux-mips64le	control	100K-1M
typanion	control	1M+
typed-rest-client	case	1M+
typed-scss-modules	control	100K-1M
typeorm	case	1M+
typescript-json-serializer	control	10K-100K
typescript-paths	control	1K-10K
ua-parser-js	case	1M+
uid	control	100K-1M
ultra_cart_rest_api_v2	control	1K-10K
umzug	control	1M+
unctx	control	100K-1M
underscore	case	1M+
undici	case	1M+
unenv	control	100K-1M
unhead	case	100K-1M
unimported	control	100K-1M
universal-user-agent	control	1M+
unleash-server	case	10K-100K
unset-value	control	1M+
update-version-webpack	control	1K-10K
uplot	case	100K-1M
urijs	control	1M+
url-parse	control	1M+
url-value-parser	control	1M+
urllib	case	1M+
use-http	control	100K-1M
userflow.js	control	100K-1M
util-nonempty	control	10K-100K
utilities	case	10K-100K
utrie	control	1M+
uuid	case	1M+
uuid4	control	100K-1M
v8-compile-cache-lib	control	1M+
v8-to-istanbul	control	1M+
validate-peer-dependencies	control	100K-1M
vconsole	case	10K-100K
vditor	case	10K-100K
vega	case	1M+
vega-force	control	1M+
vega-functions	case	1M+
vega-hierarchy	control	1M+
vega-regression	control	1M+
vega-selections	case	1M+
vega-time	control	1M+
vega-typings	control	1M+
velocityjs	case	1M+
vercel	case	100K-1M
verdaccio	control	100K-1M
victory-chart	control	100K-1M
victory-errorbar	control	100K-1M
victory-selection-container	control	100K-1M
victory-zoom-container	control	100K-1M
video.js	control	1M+
vite	case	1M+
vite-plugin-mdx	control	100K-1M
vite-plugin-shim-react-pdf	control	10K-100K
vite-plugin-static-copy	case	100K-1M
vite-tsconfig-paths	control	1M+
vitest	case	1M+
vm2	case	1M+
vnu-jar	case	100K-1M
vscode-languageserver	control	1M+
vscode-oniguruma	control	1M+
vue	case	1M+
vue-chartjs	control	1M+
vue-dragscroll	control	10K-100K
vue-fragment	control	100K-1M
vue-i18n	case	1M+
vue-template-compiler	case	1M+
vue-upload-component	control	100K-1M
vuetify	case	1M+
vxe-table	case	10K-100K
wait-port	control	1M+
wasm-opt	control	1K-10K
waterline	control	100K-1M
wdio-lambdatest-service	control	100K-1M
web3-core-method	case	1M+
web3-core-subscriptions	case	1M+
web3-eth-ens	control	1M+
web3-eth-iban	control	1M+
web3-utils	case	1M+
webpack	case	1M+
webpack-cli	control	1M+
webpack-dev-middleware	case	1M+
webpack-dev-server	case	1M+
webpack-plugin-serve	control	100K-1M
webpack-sources	control	1M+
webpack-virtual-modules	control	1M+
webrtc-internals	control	10K-100K
wetty	case	1K-10K
which	control	1M+
which-browser	control	1K-10K
whistle	case	10K-100K
winston-logzio	control	100K-1M
winston-syslog	control	1M+
workbox-broadcast-update	control	1M+
workbox-navigation-preload	control	1M+
workbox-strategies	control	1M+
workbox-sw	control	1M+
workerd	case	1K-10K
wrangler	case	100K-1M
ws	case	1M+
xlsx	case	1M+
xml-crypto	case	1M+
xnft	control	1K-10K
xrpl	case	10K-100K
yaml	case	1M+
yarn	case	1M+
yarn-deduplicate	control	1M+
yeoman-environment	case	1M+
yeoman-generator	control	1M+
yjs	control	100K-1M
zen-observable-ts	control	1M+
zod	case	1M+
zrender	control	1M+
zstd-codec	control	100K-1M
zx	case	100K-1M
